Gene	Length	Strand	GC
alr	1079	forward	55.93
modB	689	forward	54.06
cysZ	761	forward	50.13
dfp	1220	forward	53.64
dcuB	1340	reverse	52.27
hisM	716	reverse	49.65
zraS	1397	forward	54.29
rhsE	2048	forward	58.17
yaaA	776	reverse	49.68
cydC	1721	reverse	53.77
mepM	1322	reverse	52.46
acrD	3113	forward	54.46
rodZ	1013	reverse	54.54
garL	770	reverse	52.92
ispB	971	forward	52.67
csrD	1940	reverse	50.7
cpxR	698	reverse	51.36
yjiA	956	reverse	54.65
aceA	1304	forward	55.33
aceB	1601	forward	51.75
aceE	2663	forward	53.04
aceF	1892	forward	54.68
aceK	1736	forward	52.79
ackA	1202	forward	52.2
pflA	740	reverse	50.34
ada	1064	reverse	56.9
add	1001	forward	53.89
adhE	2675	reverse	50.64
adk	644	forward	51.78
agp	1241	forward	51.61
alaS	2630	reverse	53.63
aldA	1439	forward	50.97
puuC	1487	forward	57.33
alkB	650	reverse	52.69
amn	1454	forward	50.24
ampC	1133	reverse	50.18
ampD	551	forward	53.8
ampE	854	forward	52.05
cysQ	740	forward	55.2
osmE	338	reverse	49.56
ansA	1016	forward	51.13
ansB	1046	reverse	52.63
apaG	377	reverse	51.85
apaH	842	reverse	55.75
appA	1298	forward	53.89
appY	749	forward	31.73
apt	551	forward	54.35
araA	1502	reverse	55.49
araB	1700	reverse	58.02
araC	878	forward	52.56
araD	695	reverse	55.32
araE	1418	reverse	51.16
araF	989	reverse	51.82
araG	1514	reverse	52.28
araH	986	reverse	51.17
araJ	1184	reverse	50.72
arcA	716	reverse	51.05
arcB	2336	reverse	50.62
argA	1331	forward	52.55
argB	776	forward	55.47
argC	1004	forward	53.53
argD	1220	reverse	54.55
argF	1004	reverse	58.81
argG	1343	forward	52.6
argI	1004	reverse	52.14
argR	470	forward	48.62
argS	1733	forward	53.29
argT	782	reverse	50.19
aroA	1283	forward	50.78
aroB	1088	reverse	54.18
aroC	1085	reverse	56.72
aroD	758	forward	50.46
aroE	818	reverse	48.96
aroF	1070	reverse	51.82
aroG	1052	forward	52.14
aroH	1046	forward	53.1
aroK	521	reverse	49.23
aroL	524	forward	52.19
aroM	677	forward	46.46
aroP	1373	reverse	52.69
ascB	1424	forward	51.51
ascF	1457	forward	56.1
ascG	1010	reverse	53.21
asd	1103	reverse	54.17
aslA	1655	reverse	53.2
aslB	1235	forward	52.67
asnA	992	forward	56.5
asnB	1664	reverse	52.13
asnC	458	reverse	49.46
asnS	1400	reverse	52.39
aspA	1436	reverse	49.2
aspC	1190	reverse	52.23
aspS	1772	reverse	53.75
atpA	1541	reverse	53.37
atpB	815	reverse	50.25
atpC	419	reverse	55.24
atpD	1382	reverse	54.74
atpE	239	reverse	54.17
atpF	470	reverse	52.87
atpG	863	reverse	53.47
atpH	533	reverse	51.87
atpI	380	reverse	52.23
avtA	1253	forward	52.15
bcp	470	forward	49.47
betA	1670	reverse	57.09
betB	1472	reverse	58.25
betI	587	reverse	56.8
betT	2033	forward	55.31
bfr	476	reverse	43.19
bglB	1412	reverse	48.55
bglF	1877	reverse	51.17
bglG	836	reverse	42.89
bioA	1289	reverse	56.28
bioB	1040	forward	55.52
bioC	755	forward	56.48
bioD	677	forward	53.69
bioF	1154	forward	58.01
bioH	770	reverse	56.16
